Team,Season,GameNum,GameNumBand,HorA,URL_ID,Home.Score,Away.Score,margin,Total.Score,shark.margin,shark.home_PTS,shark.away_PTS,shark.total_PTS,shark.margin_error,shark.abs_margin_error,shark.total_error,shark.abs_total_error,shark.home_PTS_error,shark.abs_home_PTS_error,shark.away_PTS_error,shark.abs_away_PTS_error
ATL,2018,6,<=10,Home,201710270ATL,100.0,105.0,-5.0,205.0,-7.5,101.25,108.75,210.0,-2.5,2.5,5.0,5.0,1.25,1.25,3.75,3.75
ATL,2018,7,<=10,Home,201710290ATL,106.0,117.0,-11.0,223.0,-5.5,97.0,102.5,199.5,5.5,5.5,-23.5,23.5,-9.0,9.0,-14.5,14.5
ATL,2018,9,<=10,Home,201711030ATL,104.0,119.0,-15.0,223.0,-9.0,102.25,111.25,213.5,6.0,6.0,-9.5,9.5,-1.75,1.75,-7.75,7.75
ATL,2018,11,<=25,Home,201711060ATL,107.0,110.0,-3.0,217.0,-8.0,97.75,105.75,203.5,-5.0,5.0,-13.5,13.5,-9.25,9.25,-4.25,4.25
ATL,2018,15,<=25,Home,201711150ATL,126.0,80.0,46.0,206.0,5.0,105.0,100.0,205.0,-41.0,41.0,-1.0,1.0,-21.0,21.0,20.0,20.0
ATL,2018,16,<=25,Home,201711180ATL,99.0,110.0,-11.0,209.0,-6.0,98.25,104.25,202.5,5.0,5.0,-6.5,6.5,-0.75,0.75,-5.75,5.75
ATL,2018,18,<=25,Home,201711220ATL,103.0,116.0,-13.0,219.0,-3.0,103.0,106.0,209.0,10.0,10.0,-10.0,10.0,0.0,0.0,-10.0,10.0
ATL,2018,19,<=25,Home,201711240ATL,116.0,104.0,12.0,220.0,2.0,104.5,102.5,207.0,-10.0,10.0,-13.0,13.0,-11.5,11.5,-1.5,1.5
ATL,2018,20,<=25,Home,201711250ATL,78.0,112.0,-34.0,190.0,-6.5,101.0,107.5,208.5,27.5,27.5,18.5,18.5,23.0,23.0,-4.5,4.5
ATL,2018,21,<=25,Home,201711300ATL,114.0,121.0,-7.0,235.0,-7.5,105.0,112.5,217.5,-0.5,0.5,-17.5,17.5,-9.0,9.0,-8.5,8.5
ATL,2018,23,<=25,Home,201712040ATL,90.0,110.0,-20.0,200.0,1.0,111.5,110.5,222.0,21.0,21.0,22.0,22.0,21.5,21.5,0.5,0.5
ATL,2018,25,<=25,Home,201712090ATL,117.0,110.0,7.0,227.0,5.0,106.75,101.75,208.5,-2.0,2.0,-18.5,18.5,-10.25,10.25,-8.25,8.25
ATL,2018,28,<=40,Home,201712140ATL,91.0,105.0,-14.0,196.0,-4.0,100.75,104.75,205.5,10.0,10.0,9.5,9.5,9.75,9.75,-0.25,0.25
ATL,2018,30,<=40,Home,201712180ATL,110.0,104.0,6.0,214.0,2.0,101.75,99.75,201.5,-4.0,4.0,-12.5,12.5,-8.25,8.25,-4.25,4.25
ATL,2018,31,<=40,Home,201712200ATL,95.0,105.0,-10.0,200.0,-4.5,104.25,108.75,213.0,5.5,5.5,13.0,13.0,9.25,9.25,3.75,3.75
ATL,2018,33,<=40,Home,201712230ATL,112.0,107.0,5.0,219.0,-1.5,100.75,102.25,203.0,-6.5,6.5,-16.0,16.0,-11.25,11.25,-4.75,4.75
ATL,2018,34,<=40,Home,201712270ATL,113.0,99.0,14.0,212.0,-6.0,104.0,110.0,214.0,-20.0,20.0,2.0,2.0,-9.0,9.0,11.0,11.0
ATL,2018,36,<=40,Home,201712300ATL,104.0,89.0,15.0,193.0,-2.5,100.75,103.25,204.0,-17.5,17.5,11.0,11.0,-3.25,3.25,14.25,14.25
ATL,2018,42,>40,Home,201801120ATL,105.0,110.0,-5.0,215.0,3.0,107.0,104.0,211.0,8.0,8.0,-4.0,4.0,2.0,2.0,-6.0,6.0
ATL,2018,43,>40,Home,201801150ATL,102.0,99.0,3.0,201.0,-5.5,98.0,103.5,201.5,-8.5,8.5,0.5,0.5,-4.0,4.0,4.5,4.5
ATL,2018,44,>40,Home,201801170ATL,94.0,93.0,1.0,187.0,-2.5,108.5,111.0,219.5,-3.5,3.5,32.5,32.5,14.5,14.5,18.0,18.0
ATL,2018,45,>40,Home,201801200ATL,97.0,113.0,-16.0,210.0,2.0,109.0,107.0,216.0,18.0,18.0,6.0,6.0,12.0,12.0,-6.0,6.0
ATL,2018,46,>40,Home,201801220ATL,104.0,90.0,14.0,194.0,-2.5,100.75,103.25,204.0,-16.5,16.5,10.0,10.0,-3.25,3.25,13.25,13.25
ATL,2018,47,>40,Home,201801240ATL,93.0,108.0,-15.0,201.0,-6.5,104.0,110.5,214.5,8.5,8.5,13.5,13.5,11.0,11.0,2.5,2.5
ATL,2018,49,>40,Home,201801270ATL,104.0,129.0,-25.0,233.0,-3.5,104.0,107.5,211.5,21.5,21.5,-21.5,21.5,0.0,0.0,-21.5,21.5
ATL,2018,50,>40,Home,201801290ATL,105.0,100.0,5.0,205.0,-6.5,103.25,109.75,213.0,-11.5,11.5,8.0,8.0,-1.75,1.75,9.75,9.75
ATL,2018,51,>40,Home,201801310ATL,110.0,123.0,-13.0,233.0,-2.5,104.0,106.5,210.5,10.5,10.5,-22.5,22.5,-6.0,6.0,-16.5,16.5
ATL,2018,54,>40,Home,201802060ATL,108.0,82.0,26.0,190.0,3.0,103.25,100.25,203.5,-23.0,23.0,13.5,13.5,-4.75,4.75,18.25,18.25
ATL,2018,56,>40,Home,201802090ATL,107.0,123.0,-16.0,230.0,-2.0,105.25,107.25,212.5,14.0,14.0,-17.5,17.5,-1.75,1.75,-15.75,15.75
ATL,2018,57,>40,Home,201802110ATL,118.0,115.0,3.0,233.0,-4.0,102.25,106.25,208.5,-7.0,7.0,-24.5,24.5,-15.75,15.75,-8.75,8.75
ATL,2018,61,>40,Home,201802260ATL,104.0,123.0,-19.0,227.0,-2.0,109.5,111.5,221.0,17.0,17.0,-6.0,6.0,5.5,5.5,-11.5,11.5
ATL,2018,62,>40,Home,201802280ATL,107.0,102.0,5.0,209.0,-4.5,104.5,109.0,213.5,-9.5,9.5,4.5,4.5,-2.5,2.5,7.0,7.0
ATL,2018,63,>40,Home,201803020ATL,109.0,114.0,-5.0,223.0,-13.0,107.25,120.25,227.5,-8.0,8.0,4.5,4.5,-1.75,1.75,6.25,6.25
ATL,2018,64,>40,Home,201803040ATL,113.0,112.0,1.0,225.0,1.5,113.25,111.75,225.0,0.5,0.5,0.0,0.0,0.25,0.25,-0.25,0.25
ATL,2018,67,>40,Home,201803110ATL,122.0,129.0,-7.0,251.0,2.0,107.75,105.75,213.5,9.0,9.0,-37.5,37.5,-14.25,14.25,-23.25,23.25
ATL,2018,68,>40,Home,201803130ATL,107.0,119.0,-12.0,226.0,-6.0,105.25,111.25,216.5,6.0,6.0,-9.5,9.5,-1.75,1.75,-7.75,7.75
ATL,2018,69,>40,Home,201803150ATL,117.0,129.0,-12.0,246.0,-5.5,106.75,112.25,219.0,6.5,6.5,-27.0,27.0,-10.25,10.25,-16.75,16.75
ATL,2018,76,>40,Home,201803300ATL,91.0,101.0,-10.0,192.0,-8.0,107.5,115.5,223.0,2.0,2.0,31.0,31.0,16.5,16.5,14.5,14.5
ATL,2018,77,>40,Home,201804010ATL,94.0,88.0,6.0,182.0,1.5,105.25,103.75,209.0,-4.5,4.5,27.0,27.0,11.25,11.25,15.75,15.75
ATL,2018,79,>40,Home,201804040ATL,86.0,115.0,-29.0,201.0,-7.0,100.0,107.0,207.0,22.0,22.0,6.0,6.0,14.0,14.0,-8.0,8.0
ATL,2018,82,>40,Home,201804100ATL,113.0,121.0,-8.0,234.0,-10.0,105.5,115.5,221.0,-2.0,2.0,-13.0,13.0,-7.5,7.5,-5.5,5.5
BOS,2018,2,<=10,Home,201710180BOS,100.0,108.0,-8.0,208.0,1.5,102.75,101.25,204.0,9.5,9.5,-4.0,4.0,2.75,2.75,-6.75,6.75
BOS,2018,4,<=10,Home,201710240BOS,110.0,89.0,21.0,199.0,7.0,107.5,100.5,208.0,-14.0,14.0,9.0,9.0,-2.5,2.5,11.5,11.5
BOS,2018,7,<=10,Home,201710300BOS,108.0,94.0,14.0,202.0,4.0,98.75,94.75,193.5,-10.0,10.0,-8.5,8.5,-9.25,9.25,0.75,0.75
BOS,2018,8,<=10,Home,201711010BOS,113.0,86.0,27.0,199.0,12.0,103.5,91.5,195.0,-15.0,15.0,-4.0,4.0,-9.5,9.5,5.5,5.5
BOS,2018,12,<=25,Home,201711080BOS,107.0,96.0,11.0,203.0,6.5,110.75,104.25,215.0,-4.5,4.5,12.0,12.0,3.75,3.75,8.25,8.25
BOS,2018,13,<=25,Home,201711100BOS,90.0,87.0,3.0,177.0,3.0,103.5,100.5,204.0,0.0,0.0,27.0,27.0,13.5,13.5,13.5,13.5
BOS,2018,14,<=25,Home,201711120BOS,95.0,94.0,1.0,189.0,-3.5,99.25,102.75,202.0,-4.5,4.5,13.0,13.0,4.25,4.25,8.75,8.75
BOS,2018,16,<=25,Home,201711160BOS,92.0,88.0,4.0,180.0,-7.0,105.5,112.5,218.0,-11.0,11.0,38.0,38.0,13.5,13.5,24.5,24.5
BOS,2018,20,<=25,Home,201711240BOS,118.0,103.0,15.0,221.0,6.5,107.5,101.0,208.5,-8.5,8.5,-12.5,12.5,-10.5,10.5,-2.0,2.0
BOS,2018,22,<=25,Home,201711270BOS,108.0,118.0,-10.0,226.0,6.0,102.25,96.25,198.5,16.0,16.0,-27.5,27.5,-5.75,5.75,-21.75,21.75
BOS,2018,23,<=25,Home,201711300BOS,108.0,97.0,11.0,205.0,8.0,109.75,101.75,211.5,-3.0,3.0,6.5,6.5,1.75,1.75,4.75,4.75
BOS,2018,24,<=25,Home,201712020BOS,116.0,111.0,5.0,227.0,12.0,114.0,102.0,216.0,7.0,7.0,-11.0,11.0,-2.0,2.0,-9.0,9.0
BOS,2018,25,<=25,Home,201712040BOS,111.0,100.0,11.0,211.0,4.5,104.0,99.5,203.5,-6.5,6.5,-7.5,7.5,-7.0,7.0,-0.5,0.5
BOS,2018,26,<=40,Home,201712060BOS,97.0,90.0,7.0,187.0,8.0,104.75,96.75,201.5,1.0,1.0,14.5,14.5,7.75,7.75,6.75,6.75
BOS,2018,30,<=40,Home,201712130BOS,124.0,118.0,6.0,242.0,6.0,107.0,101.0,208.0,0.0,0.0,-34.0,34.0,-17.0,17.0,-17.0,17.0
BOS,2018,31,<=40,Home,201712150BOS,95.0,107.0,-12.0,202.0,4.5,101.0,96.5,197.5,16.5,16.5,-4.5,4.5,6.0,6.0,-10.5,10.5
BOS,2018,34,<=40,Home,201712200BOS,89.0,90.0,-1.0,179.0,9.0,104.25,95.25,199.5,10.0,10.0,20.5,20.5,15.25,15.25,5.25,5.25
BOS,2018,36,<=40,Home,201712230BOS,117.0,92.0,25.0,209.0,8.0,106.25,98.25,204.5,-17.0,17.0,-4.5,4.5,-10.75,10.75,6.25,6.25
BOS,2018,37,<=40,Home,201712250BOS,103.0,111.0,-8.0,214.0,4.0,106.25,102.25,208.5,12.0,12.0,-5.5,5.5,3.25,3.25,-8.75,8.75
BOS,2018,39,<=40,Home,201712280BOS,99.0,98.0,1.0,197.0,-2.0,107.25,109.25,216.5,-3.0,3.0,19.5,19.5,8.25,8.25,11.25,11.25
BOS,2018,40,<=40,Home,201712310BOS,108.0,105.0,3.0,213.0,9.5,109.5,100.0,209.5,6.5,6.5,-3.5,3.5,1.5,1.5,-5.0,5.0
BOS,2018,41,>40,Home,201801030BOS,102.0,88.0,14.0,190.0,3.0,107.75,104.75,212.5,-11.0,11.0,22.5,22.5,5.75,5.75,16.75,16.75
BOS,2018,42,>40,Home,201801050BOS,91.0,84.0,7.0,175.0,3.0,106.75,103.75,210.5,-4.0,4.0,35.5,35.5,15.75,15.75,19.75,19.75
BOS,2018,45,>40,Home,201801160BOS,113.0,116.0,-3.0,229.0,5.5,109.5,104.0,213.5,8.5,8.5,-15.5,15.5,-3.5,3.5,-12.0,12.0
BOS,2018,46,>40,Home,201801180BOS,80.0,89.0,-9.0,169.0,3.0,103.25,100.25,203.5,12.0,12.0,34.5,34.5,23.25,23.25,11.25,11.25
BOS,2018,47,>40,Home,201801210BOS,95.0,103.0,-8.0,198.0,10.5,109.75,99.25,209.0,18.5,18.5,11.0,11.0,14.75,14.75,-3.75,3.75
BOS,2018,52,>40,Home,201801310BOS,103.0,73.0,30.0,176.0,5.5,103.5,98.0,201.5,-24.5,24.5,25.5,25.5,0.5,0.5,25.0,25.0
BOS,2018,53,>40,Home,201802020BOS,119.0,110.0,9.0,229.0,7.0,103.5,96.5,200.0,-2.0,2.0,-29.0,29.0,-15.5,15.5,-13.5,13.5
BOS,2018,54,>40,Home,201802040BOS,97.0,96.0,1.0,193.0,-2.0,98.5,100.5,199.0,-3.0,3.0,6.0,6.0,1.5,1.5,4.5,4.5
BOS,2018,57,>40,Home,201802090BOS,91.0,97.0,-6.0,188.0,4.0,103.75,99.75,203.5,10.0,10.0,15.5,15.5,12.75,12.75,2.75,2.75
BOS,2018,58,>40,Home,201802110BOS,99.0,121.0,-22.0,220.0,5.0,108.5,103.5,212.0,27.0,27.0,-8.0,8.0,9.5,9.5,-17.5,17.5
BOS,2018,59,>40,Home,201802140BOS,119.0,129.0,-10.0,248.0,5.0,108.5,103.5,212.0,15.0,15.0,-36.0,36.0,-10.5,10.5,-25.5,25.5
BOS,2018,62,>40,Home,201802260BOS,109.0,98.0,11.0,207.0,11.5,107.75,96.25,204.0,0.5,0.5,-3.0,3.0,-1.25,1.25,-1.75,1.75
BOS,2018,63,>40,Home,201802280BOS,134.0,106.0,28.0,240.0,7.5,109.25,101.75,211.0,-20.5,20.5,-29.0,29.0,-24.75,24.75,-4.25,4.25
BOS,2018,67,>40,Home,201803110BOS,97.0,99.0,-2.0,196.0,4.5,106.75,102.25,209.0,6.5,6.5,13.0,13.0,9.75,9.75,3.25,3.25
BOS,2018,68,>40,Home,201803140BOS,124.0,125.0,-1.0,249.0,-4.0,98.75,102.75,201.5,-3.0,3.0,-47.5,47.5,-25.25,25.25,-22.25,22.25
BOS,2018,71,>40,Home,201803200BOS,100.0,99.0,1.0,199.0,-5.0,101.5,106.5,208.0,-6.0,6.0,9.0,9.0,1.5,1.5,7.5,7.5
BOS,2018,76,>40,Home,201803310BOS,110.0,99.0,11.0,209.0,-4.5,100.75,105.25,206.0,-15.5,15.5,-3.0,3.0,-9.25,9.25,6.25,6.25
BOS,2018,79,>40,Home,201804060BOS,111.0,104.0,7.0,215.0,6.0,104.75,98.75,203.5,-1.0,1.0,-11.5,11.5,-6.25,6.25,-5.25,5.25
BOS,2018,80,>40,Home,201804080BOS,106.0,112.0,-6.0,218.0,9.5,105.25,95.75,201.0,15.5,15.5,-17.0,17.0,-0.75,0.75,-16.25,16.25
BOS,2018,82,>40,Home,201804110BOS,110.0,97.0,13.0,207.0,-4.5,100.5,105.0,205.5,-17.5,17.5,-1.5,1.5,-9.5,9.5,8.0,8.0
BRK,2018,2,<=10,Home,201710200BRK,126.0,121.0,5.0,247.0,2.0,114.25,112.25,226.5,-3.0,3.0,-20.5,20.5,-11.75,11.75,-8.75,8.75
BRK,2018,3,<=10,Home,201710220BRK,116.0,104.0,12.0,220.0,1.5,110.75,109.25,220.0,-10.5,10.5,0.0,0.0,-5.25,5.25,5.25,5.25
BRK,2018,5,<=10,Home,201710250BRK,112.0,107.0,5.0,219.0,-8.0,107.75,115.75,223.5,-13.0,13.0,4.5,4.5,-4.25,4.25,8.75,8.75
BRK,2018,7,<=10,Home,201710290BRK,111.0,124.0,-13.0,235.0,-5.5,108.5,114.0,222.5,7.5,7.5,-12.5,12.5,-2.5,2.5,-10.0,10.0
BRK,2018,8,<=10,Home,201710310BRK,114.0,122.0,-8.0,236.0,4.0,117.0,113.0,230.0,12.0,12.0,-6.0,6.0,3.0,3.0,-9.0,9.0
BRK,2018,14,<=25,Home,201711140BRK,102.0,109.0,-7.0,211.0,-6.5,101.5,108.0,209.5,0.5,0.5,-1.5,1.5,-0.5,0.5,-1.0,1.0
BRK,2018,15,<=25,Home,201711170BRK,118.0,107.0,11.0,225.0,2.0,105.5,103.5,209.0,-9.0,9.0,-16.0,16.0,-12.5,12.5,-3.5,3.5
BRK,2018,16,<=25,Home,201711190BRK,111.0,118.0,-7.0,229.0,-11.5,109.5,121.0,230.5,-4.5,4.5,1.5,1.5,-1.5,1.5,3.0,3.0
BRK,2018,18,<=25,Home,201711240BRK,125.0,127.0,-2.0,252.0,-5.0,102.75,107.75,210.5,-3.0,3.0,-41.5,41.5,-22.25,22.25,-19.25,19.25
BRK,2018,22,<=25,Home,201712020BRK,102.0,114.0,-12.0,216.0,4.5,110.75,106.25,217.0,16.5,16.5,1.0,1.0,8.75,8.75,-7.75,7.75
BRK,2018,24,<=25,Home,201712070BRK,100.0,95.0,5.0,195.0,-7.0,104.25,111.25,215.5,-12.0,12.0,20.5,20.5,4.25,4.25,16.25,16.25
BRK,2018,25,<=25,Home,201712090BRK,89.0,101.0,-12.0,190.0,-2.5,105.0,107.5,212.5,9.5,9.5,22.5,22.5,16.0,16.0,6.5,6.5
BRK,2018,26,<=40,Home,201712120BRK,103.0,98.0,5.0,201.0,-3.5,105.0,108.5,213.5,-8.5,8.5,12.5,12.5,2.0,2.0,10.5,10.5
BRK,2018,27,<=40,Home,201712140BRK,104.0,111.0,-7.0,215.0,1.5,107.25,105.75,213.0,8.5,8.5,-2.0,2.0,3.25,3.25,-5.25,5.25
BRK,2018,29,<=40,Home,201712170BRK,97.0,109.0,-12.0,206.0,-3.5,108.0,111.5,219.5,8.5,8.5,13.5,13.5,11.0,11.0,2.5,2.5
BRK,2018,30,<=40,Home,201712200BRK,99.0,104.0,-5.0,203.0,5.5,105.75,100.25,206.0,10.5,10.5,3.0,3.0,6.75,6.75,-3.75,3.75
BRK,2018,31,<=40,Home,201712220BRK,119.0,84.0,35.0,203.0,-6.0,104.75,110.75,215.5,-41.0,41.0,12.5,12.5,-14.25,14.25,26.75,26.75
BRK,2018,37,<=40,Home,201801010BRK,98.0,95.0,3.0,193.0,1.5,110.25,108.75,219.0,-1.5,1.5,26.0,26.0,12.25,12.25,13.75,13.75
BRK,2018,38,<=40,Home,201801030BRK,98.0,97.0,1.0,195.0,-6.0,102.75,108.75,211.5,-7.0,7.0,16.5,16.5,4.75,4.75,11.75,11.75
BRK,2018,39,<=40,Home,201801060BRK,85.0,87.0,-2.0,172.0,-3.0,101.25,104.25,205.5,-1.0,1.0,33.5,33.5,16.25,16.25,17.25,17.25
BRK,2018,40,<=40,Home,201801080BRK,113.0,114.0,-1.0,227.0,-7.5,105.25,112.75,218.0,-6.5,6.5,-9.0,9.0,-7.75,7.75,-1.25,1.25
BRK,2018,41,>40,Home,201801100BRK,80.0,114.0,-34.0,194.0,-2.0,102.0,104.0,206.0,32.0,32.0,12.0,12.0,22.0,22.0,-10.0,10.0
BRK,2018,44,>40,Home,201801150BRK,104.0,119.0,-15.0,223.0,3.5,107.25,103.75,211.0,18.5,18.5,-12.0,12.0,3.25,3.25,-15.25,15.25
BRK,2018,45,>40,Home,201801170BRK,95.0,100.0,-5.0,195.0,-5.0,99.75,104.75,204.5,0.0,0.0,9.5,9.5,4.75,4.75,4.75,4.75
BRK,2018,46,>40,Home,201801190BRK,101.0,95.0,6.0,196.0,-3.0,101.75,104.75,206.5,-9.0,9.0,10.5,10.5,0.75,0.75,9.75,9.75
BRK,2018,52,>40,Home,201801310BRK,116.0,108.0,8.0,224.0,-8.0,102.5,110.5,213.0,-16.0,16.0,-11.0,11.0,-13.5,13.5,2.5,2.5
BRK,2018,53,>40,Home,201802020BRK,99.0,102.0,-3.0,201.0,1.0,109.25,108.25,217.5,4.0,4.0,16.5,16.5,10.25,10.25,6.25,6.25
BRK,2018,54,>40,Home,201802040BRK,94.0,109.0,-15.0,203.0,-4.5,101.25,105.75,207.0,10.5,10.5,4.0,4.0,7.25,7.25,-3.25,3.25
BRK,2018,55,>40,Home,201802060BRK,113.0,123.0,-10.0,236.0,-11.0,103.75,114.75,218.5,-1.0,1.0,-17.5,17.5,-9.25,9.25,-8.25,8.25
BRK,2018,57,>40,Home,201802100BRK,128.0,138.0,-10.0,266.0,-2.5,109.0,111.5,220.5,7.5,7.5,-45.5,45.5,-19.0,19.0,-26.5,26.5
BRK,2018,58,>40,Home,201802120BRK,101.0,114.0,-13.0,215.0,-4.5,108.5,113.0,221.5,8.5,8.5,6.5,6.5,7.5,7.5,-1.0,1.0
BRK,2018,59,>40,Home,201802140BRK,103.0,108.0,-5.0,211.0,-3.5,104.0,107.5,211.5,1.5,1.5,0.5,0.5,1.0,1.0,-0.5,0.5
BRK,2018,61,>40,Home,201802260BRK,104.0,87.0,17.0,191.0,4.5,110.25,105.75,216.0,-12.5,12.5,25.0,25.0,6.25,6.25,18.75,18.75
BRK,2018,67,>40,Home,201803110BRK,97.0,120.0,-23.0,217.0,-5.5,106.75,112.25,219.0,17.5,17.5,2.0,2.0,9.75,9.75,-7.75,7.75
BRK,2018,68,>40,Home,201803130BRK,102.0,116.0,-14.0,218.0,-9.0,104.75,113.75,218.5,5.0,5.0,0.5,0.5,2.75,2.75,-2.25,2.25
BRK,2018,70,>40,Home,201803170BRK,114.0,106.0,8.0,220.0,4.5,108.0,103.5,211.5,-3.5,3.5,-8.5,8.5,-6.0,6.0,-2.5,2.5
BRK,2018,71,>40,Home,201803190BRK,118.0,115.0,3.0,233.0,8.0,109.5,101.5,211.0,5.0,5.0,-22.0,22.0,-8.5,8.5,-13.5,13.5
BRK,2018,72,>40,Home,201803210BRK,105.0,111.0,-6.0,216.0,-1.0,110.25,111.25,221.5,5.0,5.0,5.5,5.5,5.25,5.25,0.25,0.25
BRK,2018,74,>40,Home,201803250BRK,114.0,121.0,-7.0,235.0,-6.5,111.0,117.5,228.5,0.5,0.5,-6.5,6.5,-3.0,3.0,-3.5,3.5
BRK,2018,77,>40,Home,201804010BRK,96.0,108.0,-12.0,204.0,-0.0,106.25,106.25,212.5,12.0,12.0,8.5,8.5,10.25,10.25,-1.75,1.75
BRK,2018,81,>40,Home,201804090BRK,114.0,105.0,9.0,219.0,6.5,112.5,106.0,218.5,-2.5,2.5,-0.5,0.5,-1.5,1.5,1.0,1.0
CHI,2018,2,<=10,Home,201710210CHI,77.0,87.0,-10.0,164.0,-10.5,94.75,105.25,200.0,-0.5,0.5,36.0,36.0,17.75,17.75,18.25,18.25
CHI,2018,4,<=10,Home,201710260CHI,91.0,86.0,5.0,177.0,2.0,101.0,99.0,200.0,-3.0,3.0,23.0,23.0,10.0,10.0,13.0,13.0
CHI,2018,5,<=10,Home,201710280CHI,69.0,101.0,-32.0,170.0,-8.5,97.5,106.0,203.5,23.5,23.5,33.5,33.5,28.5,28.5,5.0,5.0
CHI,2018,8,<=10,Home,201711040CHI,90.0,96.0,-6.0,186.0,-5.5,97.0,102.5,199.5,0.5,0.5,13.5,13.5,7.0,7.0,6.5,6.5
CHI,2018,10,<=10,Home,201711100CHI,87.0,105.0,-18.0,192.0,-3.5,99.25,102.75,202.0,14.5,14.5,10.0,10.0,12.25,12.25,-2.25,2.25
CHI,2018,13,<=25,Home,201711170CHI,123.0,120.0,3.0,243.0,-6.5,96.0,102.5,198.5,-9.5,9.5,-44.5,44.5,-27.0,27.0,-17.5,17.5
CHI,2018,18,<=25,Home,201711260CHI,93.0,100.0,-7.0,193.0,-7.5,93.5,101.0,194.5,-0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0
CHI,2018,19,<=25,Home,201711280CHI,99.0,104.0,-5.0,203.0,1.0,107.0,106.0,213.0,6.0,6.0,10.0,10.0,8.0,8.0,2.0,2.0
CHI,2018,21,<=25,Home,201712010CHI,106.0,107.0,-1.0,213.0,-1.0,97.25,98.25,195.5,0.0,0.0,-17.5,17.5,-8.75,8.75,-8.75,8.75
CHI,2018,22,<=25,Home,201712040CHI,91.0,113.0,-22.0,204.0,-9.0,100.5,109.5,210.0,13.0,13.0,6.0,6.0,9.5,9.5,-3.5,3.5
CHI,2018,25,<=25,Home,201712090CHI,104.0,102.0,2.0,206.0,-3.5,98.0,101.5,199.5,-5.5,5.5,-6.5,6.5,-6.0,6.0,-0.5,0.5
CHI,2018,26,<=40,Home,201712110CHI,108.0,85.0,23.0,193.0,-5.5,94.0,99.5,193.5,-28.5,28.5,0.5,0.5,-14.0,14.0,14.5,14.5
CHI,2018,27,<=40,Home,201712130CHI,103.0,100.0,3.0,203.0,-5.5,95.5,101.0,196.5,-8.5,8.5,-6.5,6.5,-7.5,7.5,1.0,1.0
CHI,2018,29,<=40,Home,201712180CHI,117.0,115.0,2.0,232.0,-2.0,103.75,105.75,209.5,-4.0,4.0,-22.5,22.5,-13.25,13.25,-9.25,9.25
CHI,2018,30,<=40,Home,201712200CHI,112.0,94.0,18.0,206.0,5.0,107.75,102.75,210.5,-13.0,13.0,4.5,4.5,-4.25,4.25,8.75,8.75
CHI,2018,34,<=40,Home,201712270CHI,92.0,87.0,5.0,179.0,1.5,104.75,103.25,208.0,-3.5,3.5,29.0,29.0,12.75,12.75,16.25,16.25
CHI,2018,35,<=40,Home,201712290CHI,119.0,107.0,12.0,226.0,3.0,104.75,101.75,206.5,-9.0,9.0,-19.5,19.5,-14.25,14.25,-5.25,5.25
CHI,2018,37,<=40,Home,201801010CHI,120.0,124.0,-4.0,244.0,3.0,102.25,99.25,201.5,7.0,7.0,-42.5,42.5,-17.75,17.75,-24.75,24.75
CHI,2018,38,<=40,Home,201801030CHI,115.0,124.0,-9.0,239.0,-4.5,106.25,110.75,217.0,4.5,4.5,-22.0,22.0,-8.75,8.75,-13.25,13.25
CHI,2018,41,>40,Home,201801080CHI,107.0,116.0,-9.0,223.0,-6.0,107.0,113.0,220.0,3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,3.0
CHI,2018,43,>40,Home,201801130CHI,107.0,105.0,2.0,212.0,-1.0,104.25,105.25,209.5,-3.0,3.0,-2.5,2.5,-2.75,2.75,0.25,0.25
CHI,2018,44,>40,Home,201801150CHI,119.0,111.0,8.0,230.0,1.5,104.0,102.5,206.5,-6.5,6.5,-23.5,23.5,-15.0,15.0,-8.5,8.5
CHI,2018,45,>40,Home,201801170CHI,112.0,119.0,-7.0,231.0,-8.5,112.0,120.5,232.5,-1.5,1.5,1.5,1.5,0.0,0.0,1.5,1.5
CHI,2018,49,>40,Home,201801260CHI,103.0,108.0,-5.0,211.0,4.0,113.25,109.25,222.5,9.0,9.0,11.5,11.5,10.25,10.25,1.25,1.25
CHI,2018,50,>40,Home,201801280CHI,96.0,110.0,-14.0,206.0,-2.5,106.0,108.5,214.5,11.5,11.5,8.5,8.5,10.0,10.0,-1.5,1.5
CHI,2018,54,>40,Home,201802090CHI,114.0,113.0,1.0,227.0,-7.5,104.25,111.75,216.0,-8.5,8.5,-11.0,11.0,-9.75,9.75,-1.25,1.25
CHI,2018,55,>40,Home,201802100CHI,90.0,101.0,-11.0,191.0,-5.5,104.0,109.5,213.5,5.5,5.5,22.5,22.5,14.0,14.0,8.5,8.5
CHI,2018,56,>40,Home,201802120CHI,105.0,101.0,4.0,206.0,5.0,108.75,103.75,212.5,1.0,1.0,6.5,6.5,3.75,3.75,2.75,2.75
CHI,2018,57,>40,Home,201802140CHI,98.0,122.0,-24.0,220.0,-7.0,106.25,113.25,219.5,17.0,17.0,-0.5,0.5,8.25,8.25,-8.75,8.75
CHI,2018,58,>40,Home,201802220CHI,115.0,116.0,-1.0,231.0,-7.5,103.0,110.5,213.5,-6.5,6.5,-17.5,17.5,-12.0,12.0,-5.5,5.5
CHI,2018,62,>40,Home,201803020CHI,108.0,100.0,8.0,208.0,-2.5,106.25,108.75,215.0,-10.5,10.5,7.0,7.0,-1.75,1.75,8.75,8.75
